'Crate name', 'Successful filtering', 'Duration (s)', 'Exit status', 'Start', 'End'
'269_bit-set', true, 1, 0, '2018-11-14 15:53:03', '2018-11-14 15:53:04'
'270_rls-span', true, 4, 0, '2018-11-14 15:53:04', '2018-11-14 15:53:08'
'271_lzw', true, 3, 0, '2018-11-14 15:53:08', '2018-11-14 15:53:11'
'274_digest', true, 0, 0, '2018-11-14 15:53:11', '2018-11-14 15:53:11'
'275_color_quant', true, 2, 0, '2018-11-14 15:53:11', '2018-11-14 15:53:13'
'276_lzma-sys', true, 4, 0, '2018-11-14 15:53:13', '2018-11-14 15:53:17'
'277_iron', true, 1097, 0, '2018-11-14 15:53:17', '2018-11-14 16:11:36'
'278_tokio-fs', true, 73, 0, '2018-11-14 16:11:36', '2018-11-14 16:12:49'
'279_xz2', true, 2, 0, '2018-11-14 16:12:49', '2018-11-14 16:12:51'
'280_shlex', true, 1, 0, '2018-11-14 16:12:51', '2018-11-14 16:12:52'
'281_coco', true, 3, 0, '2018-11-14 16:12:52', '2018-11-14 16:12:55'
'282_string_cache_shared', true, 0, 0, '2018-11-14 16:12:55', '2018-11-14 16:12:55'
'284_string_cache_codegen', true, 4, 0, '2018-11-14 16:12:55', '2018-11-14 16:13:00'
'286_ryu', true, 1, 0, '2018-11-14 16:13:00', '2018-11-14 16:13:02'
'287_byte-tools', true, 0, 0, '2018-11-14 16:13:02', '2018-11-14 16:13:03'
'289_glutin', true, 13, 0, '2018-11-14 16:13:03', '2018-11-14 16:13:16'
'290_rls-vfs', true, 4, 0, '2018-11-14 16:13:16', '2018-11-14 16:13:20'
'291_crypto-hash', true, 0, 0, '2018-11-14 16:13:20', '2018-11-14 16:13:21'
'292_sha2', true, 3, 0, '2018-11-14 16:13:21', '2018-11-14 16:13:24'
'294_precomputed-hash', true, 0, 0, '2018-11-14 16:13:24', '2018-11-14 16:13:24'
'295_if_chain', true, 1, 0, '2018-11-14 16:13:24', '2018-11-14 16:13:25'
'298_conduit-mime-types', true, 1, 0, '2018-11-14 16:13:25', '2018-11-14 16:13:26'
'300_difference', true, 3, 0, '2018-11-14 16:13:26', '2018-11-14 16:13:29'
'301_debug_unreachable', true, 0, 0, '2018-11-14 16:13:29', '2018-11-14 16:13:29'
'302_fake-simd', true, 1, 0, '2018-11-14 16:13:29', '2018-11-14 16:13:30'
'303_mio-uds', true, 1, 0, '2018-11-14 16:13:30', '2018-11-14 16:13:31'
'304_error', true, 0, 0, '2018-11-14 16:13:31', '2018-11-14 16:13:31'
'305_json', true, 13, 0, '2018-11-14 16:13:31', '2018-11-14 16:13:44'
'306_deflate', true, 9, 0, '2018-11-14 16:13:44', '2018-11-14 16:13:53'
'308_x11-dl', true, 312, 0, '2018-11-14 16:13:53', '2018-11-14 16:19:05'
'309_deque', true, 0, 0, '2018-11-14 16:19:05', '2018-11-14 16:19:05'
'310_typed-arena', true, 1, 0, '2018-11-14 16:19:05', '2018-11-14 16:19:06'
'312_constant_time_eq', true, 0, 0, '2018-11-14 16:19:06', '2018-11-14 16:19:06'
'313_heapsize', true, 1, 0, '2018-11-14 16:19:06', '2018-11-14 16:19:07'
'314_commoncrypto-sys', true, 3, 0, '2018-11-14 16:19:07', '2018-11-14 16:19:10'
'317_lock_api', true, 2, 0, '2018-11-14 16:19:10', '2018-11-14 16:19:12'
'320_gleam', true, 372, 0, '2018-11-14 16:19:12', '2018-11-14 16:25:24'
'321_ascii', true, 3, 0, '2018-11-14 16:25:24', '2018-11-14 16:25:27'
'322_zip', true, 6, 0, '2018-11-14 16:25:27', '2018-11-14 16:25:33'
'323_rustc-ap-serialize', true, 32, 0, '2018-11-14 16:25:33', '2018-11-14 16:26:05'
'326_rustc-ap-rustc_cratesio_shim', true, 3, 0, '2018-11-14 16:26:05', '2018-11-14 16:26:08'
'329_wayland-client', true, 15, 0, '2018-11-14 16:26:08', '2018-11-14 16:26:23'
'330_encoding_rs', true, 47, 0, '2018-11-14 16:26:23', '2018-11-14 16:27:10'
'331_tokio-codec', true, 2, 0, '2018-11-14 16:27:10', '2018-11-14 16:27:12'
'332_maplit', true, 0, 0, '2018-11-14 16:27:12', '2018-11-14 16:27:12'
'333_podio', true, 0, 0, '2018-11-14 16:27:12', '2018-11-14 16:27:12'
'334_strings', true, 9, 0, '2018-11-14 16:27:12', '2018-11-14 16:27:21'
'335_msdos_time', true, 0, 0, '2018-11-14 16:27:21', '2018-11-14 16:27:21'
'337_osmesa-sys', true, 4, 0, '2018-11-14 16:27:21', '2018-11-14 16:27:25'
'338_unix_socket', true, 2, 0, '2018-11-14 16:27:25', '2018-11-14 16:27:27'
'339_openssl-verify', true, 1, 0, '2018-11-14 16:27:27', '2018-11-14 16:27:28'
'341_winit', true, 43, 0, '2018-11-14 16:27:28', '2018-11-14 16:28:11'
'342_euclid', true, 7, 0, '2018-11-14 16:28:11', '2018-11-14 16:28:18'
'344_colored', true, 2, 0, '2018-11-14 16:28:18', '2018-11-14 16:28:20'
'345_block-buffer', true, 1, 0, '2018-11-14 16:28:20', '2018-11-14 16:28:21'
'346_want', true, 1, 0, '2018-11-14 16:28:21', '2018-11-14 16:28:22'
'347_try-lock', true, 0, 0, '2018-11-14 16:28:22', '2018-11-14 16:28:22'
'348_cgmath', true, 19, 0, '2018-11-14 16:28:22', '2018-11-14 16:28:42'
'351_lru-cache', true, 0, 0, '2018-11-14 16:28:42', '2018-11-14 16:28:42'
