"Crate name","Successful verification","Whitelist items","Verified items","Successful items","Duration (s)","Exit status","Start","End","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"176_diff",true,0,0,0,5,0,"2018-11-16 00:16:39","2018-11-16 00:16:44",0.0,0.0,0.0,1.41
"177_gl_generator",true,0,0,0,48,0,"2018-11-16 00:16:44","2018-11-16 00:17:32",0.1,0.0,0.0,1.47
"178_wincolor",true,0,0,0,209,0,"2018-11-16 00:17:32","2018-11-16 00:21:01",0.0,0.0,0.0,1.36
"180_untrusted",true,0,0,0,5,0,"2018-11-16 00:21:01","2018-11-16 00:21:06",0.0,0.0,0.0,1.41
"181_tokio-service",true,0,0,0,28,0,"2018-11-16 00:21:06","2018-11-16 00:21:34",0.0,0.0,0.0,1.41
"183_bufstream",true,0,0,0,4,0,"2018-11-16 00:21:34","2018-11-16 00:21:38",0.0,0.0,0.0,1.35
"184_git2-curl",true,0,0,0,225,0,"2018-11-16 00:21:38","2018-11-16 00:25:23",0.0,0.0,0.0,1.47
"186_take",true,0,0,0,4,0,"2018-11-16 00:25:23","2018-11-16 00:25:27",0.0,0.0,0.0,1.41
"187_ordermap",true,5,5,5,9,0,"2018-11-16 00:25:27","2018-11-16 00:25:36",0.1,0.0,0.3,1.99
"188_khronos_api",true,0,0,0,9,0,"2018-11-16 00:25:36","2018-11-16 00:25:45",0.0,0.0,0.0,1.41
"189_vcpkg",true,0,0,0,8,0,"2018-11-16 00:25:45","2018-11-16 00:25:53",0.0,0.0,0.0,1.46
"193_memmap",true,3,3,3,13,0,"2018-11-16 00:25:53","2018-11-16 00:26:07",0.0,0.0,0.8,2.23
"195_fuchsia-zircon",true,152,152,152,34,0,"2018-11-16 00:26:07","2018-11-16 00:26:41",0.1,0.0,0.83,8.76
"196_fuchsia-zircon-sys",true,1,1,1,8,0,"2018-11-16 00:26:41","2018-11-16 00:26:49",0.0,0.0,0.0,1.63
"198_tokio-reactor",true,0,0,0,102,0,"2018-11-16 00:26:49","2018-11-16 00:28:31",0.0,0.0,0.0,1.48
"199_tokio-threadpool",true,20,20,20,72,0,"2018-11-16 00:28:31","2018-11-16 00:29:43",0.1,0.0,0.7,2.58
"203_shell-escape",true,0,0,0,4,0,"2018-11-16 00:29:43","2018-11-16 00:29:47",0.0,0.0,0.0,1.38
"204_sha1",true,1,1,1,7,0,"2018-11-16 00:29:47","2018-11-16 00:29:54",0.0,0.0,0.0,1.79
"205_tokio-executor",true,3,3,3,31,0,"2018-11-16 00:29:54","2018-11-16 00:30:25",0.0,0.0,0.0,1.76
"206_generic-array",true,0,0,0,18,0,"2018-11-16 00:30:25","2018-11-16 00:30:43",0.0,0.0,0.0,1.47
"207_unsafe-any",true,0,0,0,7,0,"2018-11-16 00:30:43","2018-11-16 00:30:50",0.0,0.0,0.0,1.45
"208_xattr",true,0,0,0,13,0,"2018-11-16 00:30:50","2018-11-16 00:31:03",0.0,0.0,0.0,1.38
"209_fixedbitset",true,1,1,1,6,0,"2018-11-16 00:31:03","2018-11-16 00:31:09",0.0,0.0,0.1,2.5
"211_open",true,0,0,0,8,0,"2018-11-16 00:31:09","2018-11-16 00:31:17",0.0,0.0,0.0,1.41
"214_crc",true,0,0,0,13,0,"2018-11-16 00:31:17","2018-11-16 00:31:30",0.0,0.0,0.0,1.38
"217_quine-mc_cluskey",true,2,2,2,7,0,"2018-11-16 00:31:30","2018-11-16 00:31:37",0.0,0.0,0.1,1.80
"218_relay",true,0,0,0,29,0,"2018-11-16 00:31:37","2018-11-16 00:32:06",0.0,0.0,0.0,1.38
"219_scoped_threadpool",true,0,0,0,5,0,"2018-11-16 00:32:06","2018-11-16 00:32:11",0.0,0.0,0.0,1.39
"221_antidote",true,0,0,0,4,0,"2018-11-16 00:32:11","2018-11-16 00:32:15",0.0,0.0,0.0,1.40
"222_jobserver",true,0,0,0,16,0,"2018-11-16 00:32:15","2018-11-16 00:32:31",0.0,0.0,0.0,1.46
"223_encoding_index_tests",true,0,0,0,4,0,"2018-11-16 00:32:31","2018-11-16 00:32:35",0.0,0.0,0.0,1.49
